Authors	Title	Publication	Volume	Number	Pages	Year	Publisher
"Vidal-Clos, Josep-Andreu; Bullich-Massagué, Eduard; Aragüés-Penalba, Monica; Vinyals-Canal, Guillem; Chillón-Antón, Cristian; Prieto-Araujo, Eduardo; Gomis-Bellmunt, Oriol; "	"Energy Management System for Islanded Microgrids Comprising PV Systems, Diesel Generators, Energy Storage Systems: Validation in a Laboratory Environment"					2018	
"Padrós-Valls, Raimon; Iraola-de-Acevedo, Eduardo; Prieto-Araujo, Eduardo; CITCEA-UPC, Oriol Gomis-Bellmunt; "	Design of a Low Voltage DC Microgrid Based on Renewable Energy to be Applied in Communities where Grid Connection is not Available					2018	
"Sau-Bassols, Joan; Prieto-Araujo, Eduardo; Gomis-Bellmunt, Oriol; Hassan, Fainan; "	Selective operation of distributed current flow controller devices for meshed HVDC grids	IEEE Transactions on Power Delivery	34	1	107-118	2018	IEEE
"Sakamuri, Jayachandra N; Sau-Bassols, Joan; Prieto-Araujo, Eduardo; Gomis-Bellmunt, Oriol; Altin, Müfit; Hansen, Anca Daniela; Cutululis, Nicolaos Antonio; "	Experimental validation of frequency control from offshore wind power plants in multi-terminal DC grids	CIGRE Science & Engineering	10		95-112	2018	CIGRE Conseil international des grands réseaux électriques
"Ferrer San José, Ricard; Prieto Araujo, Eduardo; Gomis Bellmunt, Oriol; Colas, Frederic; Marin, Daniel; Guillaud, Xavier; Hajian, Masood; Nguefeu, Samuel; "	Design and implementation of an LCL DC/DC converter prototype for DC grids	"COSYS-DC 2017: International Conference on COmponents and SYStems for DC Grids: Grenoble, France: 14-15 March, 2017: proceedings book"			01-Nov	2017	
"Gomis-Bellmunt, Oriol; Lavernia-Ferrer, David; Junyent-Ferre, Adria; Prieto-Araujo, Eduardo; "	Decentralized Control of a Nine-Phase Permanent Magnet Generator for Offshore Wind Turbines	IEEE Transactions on Energy Conversion	30	3		2015	Institute of Electrical & Electronics Engineers (IEEE)
"Cheah-Mane, Marc; Sainz, Luis; Prieto-Araujo, Eduardo; Gomis-Bellmunt, Oriol; "	Impedance-based analysis of harmonic instabilities in HVDC-connected Offshore Wind Power Plants	International Journal of Electrical Power & Energy Systems	106		420-431	2019	Elsevier
"Vidal-Clos, Josep-Andreu; Bullich-Massagué, Eduard; Aragüés-Peñalba, Mònica; Vinyals-Canal, Guillem; Chillón-Antón, Cristian; Prieto-Araujo, Eduardo; Gomis-Bellmunt, Oriol; Galceran-Arellano, Samuel; "	Optimal Operation of Isolated Microgrids Considering Frequency Constraints	Applied Sciences	9	2	223	2019	Multidisciplinary Digital Publishing Institute
"Collados Rodríguez, Carlos; Cheah Mañé, Marc; Prieto Araujo, Eduardo; Ferrer San José, Ricard; Sánchez Sánchez, Enric; Gomis Bellmunt, Oriol; Sanz, Silvia; Longás, Carmen; Cordón, Antonio; Coronado, Luis; "	Stability and interaction analysis in islanded power systems including VSC-HVDC and LCC-HVDC power converters	2018 CIGRE-Session Papers & Proceedings			01-Jul	2018	
"Cheah-Mane, M; Song, Jie; Ferrer-San-Jose, R; Prieto-Araujo, E; GomisBellmunt, O; "	Analysis of Hybrid LCC-VSC HVDC Transmission System Configurations					2019	IET
