"Junyent-Ferre, Adrià; Gomis-Bellmunt, Oriol; Green, Tim C; Soto-Sanchez, Diego E; ",Current control reference calculation issues for the operation of renewable source grid interface VSCs under unbalanced voltage sags,IEEE Transactions on Power Electronics,26,12,3744-3753,2011,IEEE
"Trilla, Lluís; Gomis-Bellmunt, Oriol; Junyent-Ferre, Adrià; Mata, Montserrat; Navarro, Javier Sanchez; Sudria-Andreu, Antoni; ",Modeling and validation of DFIG 3-MW wind turbine using field test data of balanced and unbalanced voltage sags,IEEE Transactions on sustainable energy,2,4,509-519,2011,IEEE
"Gomis-Bellmunt, Oriol; Junyent-Ferré, Adrià; Sumper, Andreas; Bergas-Jané, Joan; ",Control of a Wind Farm Based on Synchronous Generators With a Central HVDC-VSC Converter,"Power Systems, IEEE Transactions on",26,3,1632-1640,2011,IEEE
"Valsera‐Naranjo, Eduardo; Sumper, Andreas; Gomis‐Bellmunt, Oriol; Junyent‐Ferré, Adrià; Martínez‐Rojas, Marcela; ",Pitch control system design to improve frequency response capability of fixed‐speed wind turbine systems,European Transactions on Electrical Power,21,7,1984-2006,2011,Wiley Online Library
"Zhang, Ning; Kang, Chongqing; Kirschen, Daniel S; Xi, Weimin; Huang, Junhui; Zhang, Qian; ",Thermal generation operating cost variations with wind power integration,2011 IEEE Power and Energy Society General Meeting,,,1-8,2011,IEEE
"Egea-Alvarez, A; Junyent-Ferre, A; Gomis-Bellmunt, O; Liang, Jun; Ekanayake, J; Jenkins, N; ",Operation and control of VSC-HVDC multiterminal grids for offshore wind,"Power Electronics and Applications (EPE 2011), Proceedings of the 2011-14th European Conference on",,,1-9,2011,IEEE
"Bianchi, Fernando D; Gomis-Bellmunt, Oriol; Egea-Alvarez, Agustí; Junyent-Ferré, Adrià; ",Optimal control of voltage source converters for fault operation,Proceedings of the 2011 14th European Conference on Power Electronics and Applications,,,1-10,2011,IEEE
"Junyent-Ferré, Adria; Prieto-Araujo, Eduardo; Gomis-Bellmunt, Oriol; Bianchi, Fernando; ",Voltage sag ridethrough of PMSG wind turbines using droop control stabilization,"Power Electronics and Applications (EPE 2011), Proceedings of the 2011-14th European Conference on",,,1-8,2011,IEEE
"Junyent-Ferré, Adriá; Gomis-Bellmunt, Oriol; ",Wind turbine generation systems modeling for integration in power systems,Handbook Of Renewable Energy Technology,,,53-68,2011,
"Gomis-Bellmunt, Oriol; Junyent-Ferré, Adrià; ",Control of doubly fed induction generators under balanced and unbalanced voltage conditions,Handbook Of Renewable Energy Technology,,,757-783,2011,
"Caballero, Juan C Trujillo; Gomis-Bellmunt, Oriol; Montesinos-Miracle, Daniel; Sumper, Andreas; Sudrià-Andreu, Antoni; Junyent-Ferre, Adrià; ",Control for power conditioner based PEM Fuel Cell and back-up power system with Supercapacitor,11th International Conference on Electrical Power Quality and Utilisation,,,1-6,2011,IEEE
"Junyent Ferré, Adrià; ",Control of power electronic converters for the operation of wind generation,,,,,2011,Universitat Politècnica de Catalunya
"Caballero, JC Trujillo; Bellmunt, OG; Miracle, DM; Sumper, Andreas; Andreu, AS; Ferre, AJ; ",Digital control Strategy Based on Operate a Power Conditioner System for Hybrid Fuel Cell/Supercapacitor Power Source,,,,,2011,CITCEA-UPC
"Trilla, Lluís; Gomis-Bellmunt, Oriol; Junyent-Ferré, Adrià; Mata, Montserrat; Sànchez, Javier; Sudrià-Andreu, Antoni; ",DFIG based WTGS modeling and validation using field test data,European Wind Energy Conference and Exhibition 2011,,,364-368,2011,
"Gomis-Bellmunt, O; Junyent-Ferré, A; ",Wind turbine generation systems modeling for integration in power systems,,,,,2011,World Scientific Publishing
"Gomis-Bellmunt, O; Junyent-Ferré, A; Mata, M; Sánchez, J; Sudria, A; Trilla, L; ",Modeling and validation of DFIG 3-MW wind turbine using field test data of balanced and unbalanced voltage sags,,,,,2011,
"Bianchi, FD; Gomis-Bellmunt, O; Junyent-Ferré, A; Prieto, E; ",Methodology for droop control dynamic analysis of multiterminal VSC-HVDC grids for offshore wind farms,,,,,2011,
"Gomis-Bellmunt, Oriol; Egea-Alvarez, Agusti; Junyent-Ferré, Adrià; Liang, Jun; Ekanayake, Janaka; Jenkins, Nick; ",Multiterminal HVDC-VSC for offshore wind power integration,2011 IEEE Power and Energy Society General Meeting,,,1-6,2011,IEEE
